"CODI","NOM","CARRER","NUMERO_CARRER","X_ETRS89","Y_ETRS89","LATITUD","LONGITUD"
"02-112","Sepúlveda","C CALABRIA","82-80","429481.937967410","4581124.548333062","41.378553517","2.156673137"
"02-113","Comte Borrell","C COMTE BORRELL","117","429646.079830478","4581336.577410263","41.380477561","2.158611295"
"02-114","Parlament","C CALABRIA","6-2","429824.375826095","4580773.305190301","41.375419920","2.160808602"
"02-115","Aragó","C COMTE D'URGELL","132","429345.673192241","4581839.950465753","41.384984946","2.154960300"
"02-116","València","C ROCAFORT","165","428891.800143054","4581530.623443581","41.382158958","2.149568762"
"02-118","Rosselló","C GIRONA","161","430231.216320300","4583387.366087904","41.398999289","2.165372232"
"02-124","Ribes 1-3","C RIBES","1","431554.592941909","4582673.924981259","41.392687281","2.181282555"
"02-128","Paral·lel","RDA SANT PAU","1","430380.976453433","4580743.050916525","41.375195774","2.167467478"
"02-129","Pau Claris","C PAU CLARIS","650","430626.389756790","4582443.751659560","41.390534655","2.170207222"
"02-130","cantonada Rambla Catalunya","G.V. CORTS CATALANES","630","430394.537954319","4582253.863126068","41.388804359","2.167456093"
"02-131","Castillejos","C CASTILLEJOS","183.B","431753.521766589","4583794.025180005","41.402792591","2.183535581"
"02-132","Pça Tetuan","PL TETUAN","30","431083.244343079","4582954.028977256","41.395169838","2.175613148"
"02-133","Diagonal","C PROVENÇA","338","430233.815201166","4583239.695843928","41.397669500","2.165420334"
"02-134","Pau Claris","C PAU CLARIS","187","429928.494079699","4583154.128036893","41.396872273","2.161778199"
"02-136","Córsega","C CORSEGA","310-306","429653.712957697","4583062.309987892","41.396021309","2.158502170"
"02-137","","PL URQUINAONA","3","430852.018916317","4582287.249711904","41.389144520","2.172923617"
"02-139","Enric Granados","PL DOCTOR LETAMENDI","25","429812.167523527","4582315.347644257","41.389307524","2.160484009"
"02-140","Av Roma","C ARAGO","150-148","429461.074111358","4581937.519737364","41.385873846","2.156329015"
"02-141","Casanova (costat Diagonal)","C BUENOS AIRES","60","428810.759506492","4582779.485970534","41.393399839","2.148452885"
"02-142","Cine Comedia","JARD REINA VICTORIA","609","430427.918539036","4582323.982980176","41.389438794","2.167847261"
"02-144","Ronda Sant Pau","C MARQUES DE CAMPO SAGRADO","35","430189.827544805","4580925.682646109","41.376824122","2.165160841"
"02-145","Parlament","C COMTE BORRELL","34","430046.787418874","4580938.023752440","41.376922853","2.163449017"
"02-146","Rocafort","C ROCAFORT","446-444","429271.367603717","4581119.319926067","41.378487945","2.154155795"
"02-147","Gran Via de les Corts Catalanes","C VILADOMAT","118","429489.459359279","4581306.268554680","41.380190869","2.156741934"
"02-148","Casanova","C CASANOVA","36.B","429862.602888220","4581695.196313058","41.383726428","2.161159000"
"02-149","Sepúlveda / Rda. Sant Antoni","PL GOYA","185","430068.113321586","4581710.624773892","41.383883277","2.163614866"
"02-151","Diagonal","C MALLORCA","332","430505.656355249","4583336.113931639","41.398561444","2.168660845"
"02-152","Bruc","C BRUC","645","430764.351561011","4582652.990933621","41.392431094","2.171833329"
"02-153","Ali Bei","PG SANT JOAN","9","431320.992384761","4582648.116710813","41.392434919","2.178491517"
"02-154","València","C SICILIA","276","431001.279006162","4583583.860555320","41.400835500","2.174560996"
"02-155","Provença (gasolinera)","AV GAUDÍ","4-2","430995.072230531","4584008.991247036","41.404663979","2.174438288"
"02-156","Londres (costat Diagonal)","C ARIBAU","181","429079.140667181","4582877.664078285","41.394307804","2.151651355"
"02-157","Parc","C ENAMORATS","74","431612.453154301","4584005.076568042","41.404681477","2.181824231"
"02-163","costat Estació del Nord","C SARDENYA","97","431831.134754709","4582856.203165342","41.394352494","2.184569601"
"02-164","Sicília","C SICILIA","707","431332.446803978","4583227.007505825","41.397649788","2.178562874"
"02-165","Nàpols","C DIPUTACIO","368","431154.566288648","4583195.388804506","41.397349799","2.176438780"
"02-173","Jardins de la indústria","JARD INDUSTRIA","119-121","430728.774587541","4584372.873813453","41.407918443","2.171211025"
"02-174","Gran Via de les Corts Catalanes","C COMTE D'URGELL","59-61","429607.561354727","4581545.018022569","41.382351547","2.158126473"
"02-176","Roger de Flor (entre Consell de Cent/Diputació)","JARD CARLIT","8","431054.816207008","4583204.929574269","41.397427183","2.175244555"
"02-177","Villarroel (entre Diputació i Gran Via)","JARD CESAR MARTINELL","543-545","429727.982635337","4581689.177327561","41.383660469","2.159549810"
"02-180","Rda. Universitat","PL UNIVERSITAT","9-10","430137.195142783","4581936.284593485","41.385921724","2.164414979"
